text,label
"Dinosaurs spotted in remote forests, scientists stunned by evidence of survival.",Fake
"Aliens have taken over the White House, according to anonymous sources.",Fake
New study shows chocolate leads to instant weight loss without diet or exercise.,Fake
"Cure for aging discovered, but pharmaceutical companies hiding the truth from the public.",Fake
Breaking: Celebrity found alive on Mars after mysterious disappearance.,Fake
"Government secretly controlling minds using 5G towers, experts reveal shocking details.",Fake
Breakthrough in renewable energy promises cheaper solar and wind power globally.,Real
NASA confirms discovery of potentially habitable exoplanet.,Real
COVID-19 vaccines shown to significantly reduce hospitalization rates.,Real
Scientists discover new species of dolphin in the Pacific Ocean.,Real
Economists report global inflation rate slowing down in the last quarter.,Real
Major tech company announces breakthrough in quantum computing.,Real
International Space Station successfully tests new solar panel technology.,Real
New study shows meditation improves mental health and cognitive function.,Real
World Health Organization reports decline in malaria cases worldwide.,Real
